School Year,District Code,School Code,District Name,School Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the School,Highest Grade in the School,School Type,School Enrollment,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent English Learners,Percent School Choice Program,Percent Open Enrollment,School Achievement Score,School ELA Achievement Score,School Mathematics Achievement Score,School Growth Score,School ELA Growth Score,School Mathematics Growth Score,School Target Group Outcomes Score,School Target Group Achievement Score,School Target Group Growth Score,School Target Group Chronic Absenteeism Score,School Target Group Graduation Score,School Target Group Attendance Score,School On-Track to Graduation Score,School Chronic Absenteeism Rate Score,School Graduation Rate Score,School Attendance Rate Score,School 3rd Grade ELA Achievement Score,School 8th Grade Mathematics Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State ELA Growth Score,State Mathematics Growth Score,State Chronic Absenteeism Rate Score,State Graduation Rate Score,State Attendance Rate Score,State 3rd Grade ELA Achievement Score,State 8th Grade Mathematics Achievement Score,Test Participation ELA 2022 All Students,Test Participation Mathematics 2022 All Students,Subgroup with lowest ELA test participation rate 2022,Test Participation ELA 2022 lowest rate subgroup,Subgroup with lowest math test participation rate 2022,Test Participation Mathematics 2022 lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Target Group Outcomes Priority Area,Score weighting Ontrack Priority Area,School Percent Proficient ELA 2019,State Percent Proficient ELA 2019,School Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,School Percent Proficient ELA 2021,State Percent Proficient ELA 2021,School Percent Proficient Mathematics 2021,State Percent Proficient Mathematics 2021,School Percent Proficient ELA 2022,State Percent Proficient ELA 2022,School Percent Proficient Mathematics 2022,State Percent Proficient Mathematics 2022,Single-school district note,Open enrollment note,No Score Note,Grade Band for Comparison Schools,CESA,Locale description,City,Agency type,Charter school indicator,Chartering authority,Virtual school indicator,Report Card Type
2021-22,8110,100,21st Century Preparatory School,21st Century Preparatory School,55.5,Meets Few Expectations,K4,8,Elementary School,525,NA,0,0,0.545,0.291,0,0.072,0.091,0.099,0.859,0.055,NA,0,25.6,30.1,21.1,59.4,69.8,48.9,44.9,4.8,65.1,58.9,NA,79.1,64.9,68.1,NA,84.8,28,9.1,59.5,59.8,66,66,87.8,NA,94,57,52.5,0.987,0.98,SwD,0.955,SwD,0.955,0.05,0.45,0.25,0.25,0.15,0.405,0.151,0.428,0.083,0.379,0.048,0.377,0.138,0.374,0.062,0.393,This report serves for both school and district accountability purposes for this school.,,,K-8,1,City,Racine,Non District Charter Schools,Yes,University of Wisconsin Parkside,No,Public - All Students
2021-22,7,20,Abbotsford,Abbotsford Elementary,60.5,Meets Expectations,K4,5,Elementary School,365,772,0.003,0,0.005,0.699,0,0.277,0.016,0.192,0.712,0.573,NA,0.134,45.7,43.3,48.1,58.4,52.7,64.1,41.9,14.5,40.3,98.9,NA,97.3,86,97.1,NA,96.9,41.9,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.994,1,EL,0.99,NA,NA,0.05,0.45,0.25,0.25,0.239,0.404,0.2,0.468,0.2,0.371,0.355,0.424,0.213,0.386,0.272,0.451,NA,,,K-5,10,Rural,Abbotsford,Public school,No,NA,No,Public - All Students
2021-22,7,40,Abbotsford,Abbotsford Middle/Senior High,66.1,Meets Expectations,6,12,High School,401,772,0,0,0.015,0.551,0,0.429,0.005,0.172,0.661,0.332,NA,0.117,43.7,47.1,40.2,62.2,62.2,62.2,60.5,8.8,66,90.5,97.7,NA,83.1,94.1,99,NA,NA,29.2,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,0.983,0.986,EL,0.964,EL,0.971,0.05,0.45,0.25,0.25,0.312,0.408,0.289,0.382,0.312,0.389,0.24,0.335,0.213,0.375,0.172,0.34,NA,,,6-12,10,Rural,Abbotsford,Public school,No,NA,No,Public - All Students
2021-22,NA,1300,Abundant Life Christian School,Abundant Life Christian School,78.8,Exceeds Expectations,KG,12,Elementary/Secondary School,109,NA,0,0.028,0.101,0.018,0,0.789,0.064,0.018,0.009,0.138,0.375,0,75.5,84.2,66.7,75.5,85,66,NA,NA,NA,NA,NA,NA,88.6,93.6,NA,96.6,NA,62.5,59.6,57.7,66,66,85.7,NA,93.2,57,52.5,0.987,0.987,White,0.982,White,0.982,0.675,0.075,NA,0.25,NA,0.407,NA,0.41,0.677,0.384,0.383,0.364,0.636,0.379,0.446,0.375,NA,,,K-12,2,NA,Madison,Private school,No,NA,No,Private - Choice Students
2021-22,NA,1652,Academy of Excellence,Academy of Excellence,53.6,Meets Few Expectations,K4,12,Elementary/Secondary School,1271,NA,0,0.124,0.195,0.324,0.001,0.334,0.022,0.01,0.581,0.191,0.981,0,11.8,13.4,10.1,57.5,64.1,50.8,49.7,1,64.1,72.1,NA,92.1,67.4,74.5,88,NA,12.8,10.9,59.6,57.7,66,66,85.7,91.2,NA,57,52.5,0.572,0.575,White,0.032,White,0.032,0.096,0.404,0.25,0.25,0.05,0.407,0.029,0.41,0.04,0.384,0.012,0.364,0.04,0.379,0.016,0.375,NA,,,K-12,1,NA,Milwaukee,Private school,No,NA,No,Private - Choice Students
2021-22,14,130,Adams-Friendship Area,Adams-Friendship Elementary,66.6,Meets Expectations,K4,4,Elementary School,503,1376,0.006,0.008,0.014,0.082,0,0.847,0.044,0.205,0.65,0.002,NA,0.02,48.1,40.8,55.4,66,54.6,77.4,NA,NA,NA,NA,NA,NA,73.9,75.1,NA,89.5,40.1,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.989,0.989,SwD,0.95,SwD,0.95,0.075,0.675,NA,0.25,0.251,0.404,0.369,0.468,0.197,0.371,0.285,0.424,0.195,0.386,0.361,0.451,NA,,,K-5,5,Rural,Adams,Public school,No,NA,No,Public - All Students
2021-22,14,40,Adams-Friendship Area,Adams-Friendship High,78.4,Exceeds Expectations,9,12,High School,476,1376,0.006,0,0.017,0.084,0,0.853,0.04,0.269,0.632,0.008,NA,0.042,39.8,44.6,34.9,84.1,94.5,73.6,77.2,8.4,98.2,57.5,87,NA,79.3,66.6,92,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.93,0.927,SwD,0.877,SwD,0.864,0.066,0.467,0.267,0.2,0.289,0.408,0.254,0.375,0.226,0.392,0.184,0.339,0.278,0.388,0.19,0.34,NA,,,9-12,5,Rural,Adams,Public school,No,NA,No,Public - All Students
2021-22,14,210,Adams-Friendship Area,Adams-Friendship Middle,63.4,Meets Expectations,5,8,Middle School,397,1376,0,0.003,0.008,0.096,0,0.814,0.081,0.27,0.705,0.013,NA,0.01,40.2,39.1,41.2,66.9,60.3,73.6,51.7,7.4,68.9,60.3,NA,87,73.3,72.3,NA,89.3,NA,43.3,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.99,0.99,SwD,0.981,SwD,0.981,0.05,0.45,0.25,0.25,0.202,0.407,0.24,0.388,0.207,0.387,0.232,0.331,0.235,0.362,0.259,0.339,NA,,,6-8,5,Rural,Adams,Public school,No,NA,No,Public - All Students
2021-22,8148,8148,Adeline Montessori School Inc,Adeline Montessori School Inc,AR,Alternate Rating - Satisfactory Progress,K3,8,Elementary/Secondary School,104,NA,0,0.077,0.019,0.067,0,0.837,0,0.077,0.077,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,59.8,66,66,87.8,NA,94,57,52.5,0.98,0.98,White,0.971,White,0.971,NA,NA,NA,NA,NA,0.405,NA,0.428,NA,0.379,NA,0.377,0.63,0.374,0.478,0.393,This report serves for both school and district accountability purposes for this school.,,,K-8,1,Suburb,Oconomowoc,Non District Charter Schools,Yes,University of Wisconsin System,No,Public - All Students
2021-22,63,60,Albany,Albany Community Middle,56.8,Meets Few Expectations,5,8,Middle School,74,311,0,0,0.014,0.054,0,0.892,0.041,0.122,0.243,0.027,NA,0.068,52.3,60.6,44,53.7,67.9,39.4,40,20,43.2,81,NA,91,81.4,88.5,NA,94.7,NA,40.5,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,1,1,NA,NA,NA,NA,0.321,0.179,0.25,0.25,0.347,0.407,0.347,0.388,0.457,0.387,0.169,0.331,0.257,0.362,0.182,0.339,NA,,,6-8,2,Rural,Albany,Public school,No,NA,No,Public - All Students
