"District","School","Avg Score","English","Math","Reading","Science"
"Kettle Moraine","High School of Health Sciences","24.90","25.50","24.00","25.10","25.00"
"Elmbrook","Brookfield Central High","23.90","23.40","23.80","24.40","23.50"
"Cedarburg","Cedarburg High","23.90","23.70","23.10","24.40","23.80"
"Madison Metropolitan","West High","23.80","23.50","22.30","25.10","23.60"
"Waukesha","Waukesha Engineering Preparatory Academy","23.80","22.60","23.70","23.70","24.60"
"Appleton Area","Tesla Engineering Charter School","23.70","21.50","23.90","24.60","24.30"
"Shorewood","Shorewood High","23.60","23.10","22.80","24.70","23.40"
"Appleton Area","Renaissance School","23.40","23.70","21.00","26.00","22.70"
"South Shore","South Shore Jr/Sr High","23.40","22.90","24.50","23.60","21.80"
"Whitefish Bay","Whitefish Bay High","23.40","22.60","23.50","23.90","23.10"
"New Berlin","Eisenhower Middle/High","23.30","22.80","23.60","23.30","23.10"
"Elmbrook","Brookfield East High","23.30","22.40","23.40","23.50","23.30"
"Kenosha","Lakeview Technology Academy","23.30","22.40","22.60","24.30","23.00"
"Arrowhead UHS","Arrowhead High","23.20","21.50","23.90","23.10","23.60"
"Kettle Moraine","Kettle Moraine Global School for Global Leadership and Innovation","23.10","24.10","21.90","23.10","22.90"
"Middleton-Cross Plains Area","Middleton High","23.00","22.50","22.50","23.60","23.00"
"Mequon-Thiensville","Homestead High","23.00","22.80","22.30","23.80","22.70"
"Viroqua Area","Laurel High","23.00","24.30","20.80","23.70","22.00"
"Waunakee Community","Waunakee High","22.80","21.50","22.50","23.60","23.20"
"Pewaukee","Pewaukee High","22.80","22.50","22.10","22.90","23.20"
"Muskego-Norway","Muskego High","22.30","21.70","22.20","22.70","22.20"
"Hayward Community","Hayward Ctr for Individualized Learning","22.30","22.60","20.80","23.20","21.60"
"Wauwatosa","East High","22.20","21.40","21.90","22.90","22.20"
"Elkhart Lake-Glenbeulah","Elkhart Lake High","22.20","21.80","22.30","22.50","21.90"
"Milwaukee","Reagan College Preparatory High","22.10","22.50","20.70","22.80","22.10"
"Kettle Moraine","Kettle Moraine High","22.00","21.30","22.00","22.20","22.20"
"Franklin Public","Franklin High","22.00","22.00","21.20","22.10","22.40"
"D C Everest Area","D C Everest Idea School","22.00","21.00","19.50","24.70","22.50"
"Madison Metropolitan","Memorial High","22.00","21.20","21.40","22.70","22.10"
"Hamilton","Hamilton High","21.90","20.70","22.30","22.00","22.10"
"Eau Claire Area","Memorial High","21.90","20.40","22.10","22.20","22.20"
"Kohler","Kohler High","21.80","20.50","22.00","22.30","22.10"
"Little Chute Area","Little Chute Career Pathways Academy","21.80","20.80","21.10","21.70","23.10"
"Slinger","Slinger High","21.70","20.30","22.20","21.70","21.90"
"Grafton","Grafton High","21.60","21.20","21.60","21.50","21.70"
"Appleton Area","Appleton eSchool","21.60","22.10","20.30","22.30","21.00"
"Hudson","Hudson High","21.60","20.10","21.50","22.20","21.80"
"Gibraltar Area","Gibraltar High","21.50","20.60","20.80","21.90","22.10"
"Nicolet Union High School","Nicolet High","21.50","21.40","20.90","21.90","21.30"
"West De Pere","West De Pere High","21.50","20.70","21.60","21.40","21.90"
"Williams Bay","Williams Bay High","21.50","21.60","21.20","21.80","20.80"
"Middleton-Cross Plains Area","Clark Street Community School","21.40","21.40","18.00","24.20","21.10"
"Racine Unified","Walden III High","21.40","21.00","20.20","22.10","21.80"
"Kettle Moraine","School for Arts and Performance","21.40","22.40","19.60","22.00","20.90"
"Fall Creek","Fall Creek High","21.30","20.20","21.30","21.10","20.30"
"Madison Metropolitan","Shabazz-City High","21.20","19.50","18.30","24.60","21.60"
"New Berlin","New Berlin West Middle/High","21.20","20.30","21.50","21.20","21.20"
"Mineral Point Unified","Mineral Point High","21.10","21.40","20.40","21.60","20.70"
"Lodi","Lodi High","21.10","19.90","21.30","21.50","21.30"
"Germantown","Germantown High","21.10","19.40","21.70","21.60","21.00"
"Wrightstown Community","Wrightstown High","21.10","20.00","21.80","20.50","21.50"
"Neenah Joint","Neenah High","21.00","20.20","20.50","21.30","21.50"
"Sun Prairie Area","Sun Prairie High","21.00","20.10","20.00","21.70","21.70"
"De Pere","De Pere High","21.00","20.30","20.60","21.10","21.30"
"Oostburg","Oostburg High","21.00","20.70","20.80","19.70","22.10"
"Elkhorn Area","Elkhorn Area High","20.80","19.90","20.60","20.70","21.60"
"Monona Grove","Monona Grove High","20.80","19.90","19.80","21.70","21.40"
"Saint Croix Central","Saint Croix Central High","20.80","19.80","20.10","21.50","21.40"
"Oconomowoc Area","Oconomowoc High","20.80","19.50","21.10","21.10","20.90"
"Mount Horeb Area","Mount Horeb High","20.70","19.30","20.50","21.50","21.10"
"Oregon","Oregon High","20.70","19.10","20.40","21.40","21.40"
"Wisconsin Heights","Wisconsin Heights High","20.70","20.00","20.50","21.20","20.70"
"Highland","Highland Community High","20.70","18.80","21.60","21.20","20.90"
"Marshfield Unified","Marshfield High","20.70","19.40","20.10","21.10","21.70"
"Eau Claire Area","Eau Claire Virtual School","20.70","20.00","19.80","22.10","20.90"
"Mosinee","Mosinee High","20.70","19.90","20.50","20.60","21.10"
"Menomonee Falls","Menomonee Falls High","20.60","19.70","21.00","20.50","20.90"
"Waukesha","Waukesha Academy of Health Professions","20.60","20.00","19.50","20.70","21.60"
"Marathon City","Marathon High","20.60","20.20","20.00","21.40","20.40"
"Pardeeville Area","Pardeeville High","20.60","21.00","19.80","20.60","20.40"
"Baldwin-Woodville Area","Baldwin-Woodville High","20.60","20.20","20.10","20.30","21.20"
"Northwood","Northwood High/Middle","20.50","20.00","20.10","20.90","20.80"
"Waterford UHS","Waterford High","20.50","18.90","20.60","21.10","20.80"
"Greendale","Greendale High","20.50","19.30","20.20","20.90","20.90"
"Appleton Area","Valley New School","20.50","20.80","17.90","23.80","19.10"
"River Valley","River Valley High","20.40","19.70","19.70","20.90","20.90"
"Winneconne Community","Winneconne High","20.40","19.00","20.90","20.50","20.80"
"Cameron","Cameron High","20.40","19.60","20.10","21.20","20.50"
"Greenwood","Greenwood High","20.40","19.30","19.30","20.70","21.60"
"McFarland","McFarland High","20.40","18.40","20.20","21.20","21.20"
"Port Washington-Saukville","Port Washington High","20.40","19.50","20.00","20.80","20.60"
"Green Lake","Green Lake High","20.40","19.70","19.10","21.30","20.60"
"Cameron","Cameron Academy of Virtual Education","20.40","19.80","18.50","22.60","20.00"
"Random Lake","Random Lake High","20.40","20.00","20.10","19.80","21.40"
"New Glarus","New Glarus High","20.30","19.10","20.10","20.80","20.60"
"Mukwonago","Mukwonago High","20.30","19.00","20.60","20.50","20.80"
"Prescott","Prescott High","20.30","19.50","20.20","20.20","20.50"
"Waukesha","West High","20.30","19.40","19.80","20.60","20.70"
"Rio Community","Rio Middle/High","20.30","19.70","19.70","20.40","20.70"
"Deerfield Community","Deerfield High","20.20","19.70","18.70","21.70","20.40"
"Cedar Grove-Belgium Area","Cedar Grove-Belgium High","20.20","19.90","19.90","20.10","20.40"
"River Falls","River Falls High","20.20","19.10","19.70","20.90","20.50"
"Onalaska","Onalaska High","20.20","19.10","20.40","20.30","20.50"
"West Salem","West Salem High","20.20","19.80","19.60","20.10","20.40"
"Altoona","Altoona High","20.20","18.90","20.20","20.40","20.50"
"Central/Westosha UHS","Central High","20.10","19.40","20.20","20.10","20.20"
"Sheboygan Area","Etude High","20.10","19.80","19.10","20.20","20.90"
"Menomonie Area","Menomonie High","20.10","18.70","19.80","20.60","20.80"
"Ellsworth Community","Ellsworth High","20.10","18.40","19.70","20.60","21.10"
"Reedsville","Reedsville Jr/Sr High School","20.10","19.00","21.00","19.40","20.30"
"Hortonville Area","Hortonville High","20.10","19.30","19.30","20.40","20.70"
"Oak Creek-Franklin Joint","Oak Creek High","20.10","18.90","20.30","20.20","20.40"
"Ripon Area","Odyssey Academy of Virtual Learning","20.10","19.90","17.80","21.80","20.10"
"Pulaski Community","Pulaski High","20.10","18.30","21.10","19.80","20.60"
"Sevastopol","Sevastopol High","20.10","19.40","21.00","19.00","20.30"
"Three Lakes","Three Lakes High","20.10","19.30","19.80","19.70","21.20"
"Oshkosh Area","West High","20.10","18.70","20.50","20.20","20.40"
"Stoughton Area","Stoughton High","20.00","18.30","19.60","21.20","20.40"
"Oconto Falls Public","Oconto Falls High","20.00","18.70","20.20","19.80","20.20"
"Solon Springs","Solon Springs School","20.00","17.90","21.00","20.10","20.20"
"Maple","Northwestern High","20.00","18.40","20.10","20.10","20.80"
"Kimberly Area","Kimberly High","20.00","18.50","20.60","19.80","20.50"
"Saint Croix Falls","Saint Croix Falls High","20.00","18.90","19.70","20.30","20.60"
"Valders Area","Valders High","20.00","18.70","20.10","20.00","20.70"
"Eau Claire Area","North High","19.90","18.30","20.20","20.00","20.60"
"De Forest Area","De Forest High","19.90","18.60","19.50","20.40","20.40"
"Waupaca","Waupaca High","19.90","19.20","19.60","20.40","20.10"
"Howard-Suamico","Bay Port High","19.90","18.30","20.50","20.00","20.30"
"Kewaskum","Kewaskum High","19.90","19.30","19.70","19.70","20.20"
"Parkview","Parkview High","19.90","19.10","20.20","20.20","19.90"
"Crivitz","Crivitz High","19.90","18.70","20.80","19.90","19.70"
"Hurley","Hurley High","19.90","19.00","19.20","21.40","19.60"
"Ripon Area","Ripon High","19.90","19.00","19.70","19.80","20.50"
"Wilmot UHS","Wilmot High","19.90","19.10","19.30","20.20","20.80"
"Merrill Area","Bridges Virtual Academy","19.90","20.10","18.40","20.80","19.80"
"Burlington Area","Burlington High","19.90","18.80","19.80","20.20","20.30"
"Poynette","Poynette High","19.90","18.50","19.90","19.80","20.60"
"Northland Pines","School of Options & Applied Research High","19.80","18.80","19.50","21.50","19.70"
"Stratford","Stratford High","19.80","18.50","19.60","20.20","20.60"
"Howards Grove","Howards Grove High","19.80","18.90","20.30","19.40","20.30"
"Whitewater Unified","JEDI Virtual K-12 - Jefferson and Eastern Dane County Interactive","19.80","19.30","19.00","21.10","19.60"
"Belleville","Belleville High","19.80","19.60","19.50","19.50","20.00"
"Freedom Area","Freedom High","19.80","18.40","19.90","19.90","20.40"
"Madison Metropolitan","East High","19.80","18.90","19.30","20.50","19.80"
"Iola-Scandinavia","Iola-Scandinavia High","19.80","19.00","19.60","19.70","20.30"
"Brillion","Brillion High","19.70","18.40","20.80","19.00","20.30"
"Cuba City","Cuba City High","19.70","18.80","20.00","19.00","20.60"
"Glenwood City","Glenwood City High","19.70","19.00","19.40","19.70","20.70"
"Barneveld","Barneveld High","19.70","20.00","19.00","19.50","20.20"
"Appleton Area","North High","19.70","18.20","19.50","20.30","20.10"
"Osceola","Osceola High","19.70","18.10","20.90","19.20","20.20"
"Ashwaubenon","Ashwaubenon High","19.70","17.90","20.60","19.50","20.30"
"Sauk Prairie","Sauk Prairie High","19.70","18.70","19.20","20.20","20.20"
"Union Grove UHS","Union Grove High","19.70","18.40","19.80","20.10","19.90"
"Luxemburg-Casco","Luxemburg-Casco High","19.70","18.70","20.10","19.60","19.90"
"Beloit Turner","Turner High","19.70","19.10","19.30","19.80","20.10"
"West Bend","East High","19.70","17.70","19.80","20.20","20.30"
"Evansville Community","Evansville High","19.60","18.90","19.00","19.90","20.30"
"East Troy Community","East Troy High","19.60","19.10","19.60","19.30","20.00"
"West Bend","West High","19.60","17.80","19.70","19.90","20.60"
"Wauwatosa","West High","19.60","18.40","19.40","20.00","20.10"
"Washburn","Washburn High","19.60","18.90","18.90","20.40","19.60"
"Drummond Area","Drummond High","19.60","16.90","20.50","19.60","20.80"
"Luck","Luck High","19.60","18.80","18.70","20.60","19.90"
"Sturgeon Bay","Sturgeon Bay High","19.50","17.80","20.40","20.00","19.40"
"Wausau","West High","19.50","17.60","19.90","20.00","20.10"
"Milwaukee","King International","19.50","19.30","17.70","20.80","19.70"
"Fond du Lac","Fond du Lac High","19.50","17.90","19.50","19.00","19.40"
"Wausau","Wausau Area Virtual Education","19.50","17.40","18.20","20.10","21.80"
"Lake Mills Area","Lake Mills High","19.50","17.90","20.00","19.60","20.10"
"Platteville","Platteville High","19.50","18.30","19.80","18.80","20.60"
"Dodgeville","Dodgeville High","19.50","17.90","19.10","20.10","20.30"
"Campbellsport","Campbellsport High","19.50","19.60","19.30","19.10","19.40"
"Lakeland UHS","Lakeland High","19.40","18.40","19.90","19.50","19.60"
"Mishicot","Mishicot High","19.40","18.40","20.10","18.60","19.90"
"Wild Rose","Wild Rose High","19.40","18.80","18.60","19.50","20.30"
"Oconto Unified","Oconto High","19.40","18.20","19.50","19.30","19.90"
"Reedsburg","Reedsburg Area High","19.40","18.10","19.80","19.30","20.00"
"Cambridge","Cambridge High","19.40","17.90","18.60","20.50","19.70"
"Verona Area","Verona Area High","19.40","18.50","19.10","19.90","19.50"
"Prairie du Chien Area","Prairie du Chien High","19.30","18.50","19.30","19.00","20.10"
"La Crosse","Central High","19.30","17.90","18.90","20.40","19.70"
"Kewaunee","Kewaunee High","19.30","17.40","20.90","18.60","20.00"
"Columbus","Columbus High","19.30","17.70","18.80","19.80","20.40"
"Potosi","Potosi High","19.30","18.40","18.40","20.00","19.90"
"Westfield","Westfield Area High","19.30","19.50","19.20","18.80","19.30"
"Waukesha","eAchieve Academy - Wisconsin","19.30","18.30","18.20","20.40","19.80"
"Wisconsin Rapids","Lincoln High","19.30","18.30","19.00","19.70","19.80"
"Northland Pines","Northland Pines High","19.30","17.60","19.20","19.90","20.20"
"New London","New London High","19.30","18.00","20.30","18.90","19.30"
"Seneca Area","Seneca High","19.30","17.80","18.60","20.80","19.30"
"New Richmond","New Richmond High","19.20","18.10","19.60","19.50","19.20"
"Bonduel","Bonduel High","19.20","18.70","18.00","19.20","20.30"
"Cadott Community","Cadott High","19.20","18.10","18.90","19.60","19.90"
"Hustisford","Hustisford High","19.20","18.10","19.20","19.40","19.60"
"Somerset","Somerset High","19.20","18.40","18.60","19.70","19.80"
"Athens","Athens High","19.20","18.20","19.30","18.90","19.90"
"Holmen","Holmen High","19.20","17.90","18.80","19.40","20.10"
